algoritmo;variante;escenario;escenario_label;peso_fecha;fitness;best_score;fitness_ga_teacher;tardy_orders;due_orders;on_time_rate;on_time_rate_pct;workload_hours;on_time_workload_hours;on_time_workload_rate;on_time_workload_rate_pct;makespan_days;total_late_days;max_late_days;utilization;missing_ops;metodo
NN;MLP;inicial;PESO_FECHA=0.85;0.85;1176.9013840192965;1176.9013840192965;1168.1579082591445;3808;6384;0.40350877192982454;40.35087719298245;189081.08838382552;21798.22218251048;0.11528504711302029;11.528504711302029;456.29567603599855;423087.7746476901;448.44392544182153;0.11907552260701161;0;MLP_GA_INICIAL
NN;GNN;inicial;PESO_FECHA=0.85;0.85;1204.0486506692255;1176.9013840192965;1168.1579082591445;3930;6384;0.3843984962406015;38.43984962406015;189368.79138255378;21885.919409404007;0.11557300043802424;11.557300043802424;430.96913776148756;435663.90666318155;424.4201181536444;0.12626500274578498;0;GNN_GA_INICIAL
NN;MLP;peso_fecha_1;PESO_FECHA=1.00;1.0;1261.6555480129593;1261.6555480129593;1291.6407211196997;3772;6384;0.4091478696741855;40.91478696741855;189079.00753451165;22229.36531746975;0.11756654325262594;11.756654325262595;430.39165923129895;400811.8220516373;429.65350563652777;0.12624094119096682;0;MLP_GA_PESO_FECHA_1
NN;GNN;peso_fecha_1;PESO_FECHA=1.00;1.0;1353.5930011655391;1261.6555480129593;1291.6407211196997;3938;6384;0.3831453634085213;38.31453634085213;189294.9752514276;21848.177703923222;0.11541868808141251;11.54186880814125;443.20577188659956;442431.3699766434;437.06769999117466;0.12273104567055991;0;GNN_GA_PESO_FECHA_1
NN;GNN;peso_fecha_0;PESO_FECHA=0.00;0.0;435.38828158343864;435.38828158343864;408.99750627578135;3930;6384;0.3843984962406015;38.43984962406015;189232.6693118015;22334.47653655028;0.11802653642088316;11.802653642088316;435.38828158343864;435854.9606438618;429.2845234135041;0.12489358608244804;0;GNN_GA_PESO_FECHA_0
NN;MLP;peso_fecha_0;PESO_FECHA=0.00;0.0;446.7153917501621;435.38828158343864;408.99750627578135;3938;6384;0.3831453634085213;38.31453634085213;189081.7654302465;21788.782039170677;0.11523470806183424;11.523470806183424;446.7153917501621;435299.20619501936;445.7153917501621;0.12162965871402778;0;MLP_GA_PESO_FECHA_0
