gen;best;avg;std;worst;elapsed_s;best_makespan_min;best_makespan_days;best_tardy_orders;best_due_orders;best_on_time_rate;best_workload_hours;best_on_time_workload_hours;best_on_time_workload_rate;best_total_late_min;best_max_late_min;best_total_late_days;best_max_late_days;best_utilization;best_n_ops_scheduled;best_n_active_res;best_missing_ops;elapsed_min
0;814.5704921241297;1339.3414239981414;162.41832892179139;1566.82232262913;0.42;362632.09144763864;251.8278412830824;1247;2328;0.4643470790378007;94618.19726177352;17706.057313522953;0.18713162822725155;118388753.40804568;361013.856153521;82214.41208892061;250.70406677327847;0.11103005942980135;10641;141;0;0.01
1;812.8703930131336;916.0219178954303;132.33444951010844;1184.4773891466648;1.42;362632.09144763864;251.8278412830824;1244;2328;0.46563573883161513;94604.61270294999;17763.040592176883;0.18776082988628934;118150250.31960166;361013.856153521;82048.78494416781;250.70406677327847;0.11101411858103068;10641;141;0;0.02
2;810.9067562848976;812.888833872079;0.6338227626754134;814.0071395538553;2.56;362624.5738365038;251.8226207197943;1241;2328;0.46692439862542956;94609.97218007417;17862.385203418267;0.18880023735151535;117808294.32641338;361006.33854238613;81811.31550445374;250.69884620999036;0.11102270925513888;10641;141;0;0.04
3;807.8019836714391;810.4102285424568;0.9299899398945316;811.6413015052775;3.71;362624.5738365038;251.8226207197943;1234;2328;0.4699312714776632;94608.43335654476;18058.1609777321;0.1908726351030194;117591801.22905467;361006.33854238613;81660.97307573241;250.69884620999036;0.11102090347977119;10641;141;0;0.06
4;804.716323936001;806.9786398392382;1.0213797488089342;807.8567242178796;4.84;360778.24050317047;250.54044479386837;1233;2328;0.47036082474226804;94608.43335654476;18323.18348965898;0.19367389184646538;116637680.42854826;359160.0052090528;80998.38918649186;249.41667028406445;0.11158906855121671;10641;141;0;0.08
5;801.2417400707067;803.7306758158429;1.1716838484853571;804.9973405156757;6.0;358014.9267776803;248.62147692894465;1235;2328;0.4695017182130584;94632.33124870162;18347.4058283777;0.19388094519365898;115157190.62732919;356396.69148356264;79970.2712689786;247.49770241914072;0.11247876587032173;10641;141;0;0.1
6;799.8874646085044;801.3718014584475;0.5711167994282889;802.2579295456183;7.06;358492.57383650384;248.9531762753499;1230;2328;0.47164948453608246;94623.5567388977;18396.676521935166;0.1944196261053532;115312334.64257728;356874.3385423862;80078.01016845644;247.82940176554595;0.1123184864395869;10641;141;0;0.12
7;799.2589422568204;800.4225682213325;0.6025847943329428;801.0329140711759;8.2;358366.69148356264;248.86575797469627;1229;2328;0.4720790378006873;94608.33061144673;18443.720782211378;0.1949481685493334;115216553.42700663;356748.456189445;80011.49543542127;247.74198346489234;0.11233986039080283;10641;141;0;0.14
8;798.349555430723;799.1582866087407;0.42492156711264906;799.7527679652096;9.32;357230.1237437295;248.07647482203436;1233;2328;0.47036082474226804;94601.19767027025;18315.481891103216;0.19360729401060334;114355051.99574143;355611.88844961184;79413.23055259821;246.95270031223043;0.11268878552005455;10641;141;0;0.16
