metodo;fitness;makespan_days;tardy_orders;due_orders;on_time_rate;workload_hours;on_time_workload_hours;on_time_workload_rate;total_late_days;max_late_days;utilization;n_ops_scheduled;n_active_res;missing_ops
MLP_GA_INICIAL;821.5047793789469;254.60146643013468;1256;2328;0.46048109965635736;94585.89105312596;17329.98630934225;0.1832195702381081;83122.92761838318;249.7039092405922;0.10978300252424052;10641;141;0
GNN_GA_INICIAL;860.4272980649291;253.29067846012714;1302;2328;0.44072164948453607;94616.5910941612;17319.09475005825;0.1830450088063574;89313.95607067758;246.39689901010468;0.11038695035246399;10641;141;0
MLP_GA_PESO_FECHA_0;237.60000551344223;237.60000551344223;2071;2328;0.11039518900343642;94573.99776931501;13012.895983765293;0.13759486001116672;214951.82037202394;233.34815143847885;0.11762372988000526;10641;141;0
GNN_GA_PESO_FECHA_0;246.61086321753203;246.61086321753203;1956;2328;0.15979381443298968;94654.9665279877;17389.350655415292;0.18371302947187235;222044.40144549715;238.3445794244914;0.11342292647290975;10641;141;0
MLP_GA_PESO_FECHA_1;913.5608459107178;262.4201890811381;1228;2328;0.4725085910652921;94649.71012451863;18369.498539947075;0.19407876173926633;83959.97802424543;254.16610411381797;0.10658392021346007;10641;141;0
GNN_GA_PESO_FECHA_1;970.2249840540258;252.61181565765307;1309;2328;0.4377147766323024;94625.70220904303;17253.407448593836;0.18233320383164345;89237.32158488399;246.17932572565337;0.11069425982690718;10641;141;0
