metodo;makespan_min;makespan_days;tardy_orders;due_orders;on_time_rate;workload_hours;on_time_workload_hours;on_time_workload_rate;total_late_min;max_late_min;total_late_days;max_late_days;utilization;n_ops_scheduled;n_active_res;missing_ops;fitness;elapsed_s;elapsed_min
SPT;362632.09144763864;251.8278412830824;1247;2328;0.4643470790378007;94618.19726177352;17706.057313522953;0.18713162822725155;118388753.40804568;361013.856153521;82214.41208892061;250.70406677327847;0.11103005942980135;10641;141;0;814.5704921241297;0.95;0.02
FECHA_BEST;323697.8324195946;224.79016140249624;2196;2328;0.05670103092783505;94557.39556292986;5468.745664466477;0.05783519767977235;268356019.7965608;191809.86705488904;186358.347080945;133.20129656589518;0.12342939961150812;10641;142;0;1527.276867317115;0.92;0.02
SLACK;323697.8324195946;224.79016140249624;2196;2328;0.05670103092783505;94557.39556292986;5468.745664466477;0.05783519767977235;268356019.7965608;191809.86705488904;186358.347080945;133.20129656589518;0.12342939961150812;10641;142;0;1527.276867317115;1.02;0.02
XGBOOST;348679.7819763384;242.13873748356835;2172;2328;0.06701030927835051;94627.933895521;4123.610087971979;0.04357709101548037;274621000.53936756;217567.45661377278;190709.02815233858;151.0885115373422;0.11630966551171644;10641;140;0;1538.521899092418;0.87;0.01
PONDERADO;350840.92508936435;243.63953131205858;2171;2328;0.06743986254295532;94623.03960190614;4120.9143020914435;0.043550855261348304;284883297.358332;224092.48176816723;197835.62316550832;155.6197790056717;0.11558723158545542;10641;140;0;1564.7876989306847;0.89;0.01
EDD;353881.24513975275;245.75086468038384;2211;2328;0.05025773195876289;94528.88303981462;4051.8883294156058;0.04286402419151606;280157483.1306064;208772.34274878737;194553.80772958777;144.98079357554678;0.11448015118641261;10641;140;0;1566.82232262913;0.97;0.02
RISK_LATE;338599.50215847505;235.13854316560767;2228;2328;0.0429553264604811;94609.23580770471;5295.907887989389;0.05597664797497608;322852899.312963;275822.03060868965;224203.40230066876;191.54307681159003;0.11889931622236045;10641;141;0;1683.651994359361;1.05;0.02
CR;337297.677300903;234.23449812562708;2237;2328;0.0390893470790378;94599.87462699632;6264.973337146864;0.06622602156556141;386605622.0416694;315620.5067126678;268476.126417826;219.18090743935267;0.11850593911961067;10641;142;0;1850.8003776894711;1.0;0.02
