metodo;fitness;makespan_days;tardy_orders;due_orders;on_time_rate;workload_hours;on_time_workload_hours;on_time_workload_rate;total_late_days;max_late_days;utilization;n_ops_scheduled;n_active_res;missing_ops
SPT;814.5704921241297;251.8278412830824;1247;2328;0.4643470790378007;94618.19726177352;17706.057313522953;0.18713162822725155;82214.41208892061;250.70406677327847;0.11103005942980135;10641;141;0
FECHA_BEST;1527.276867317115;224.79016140249624;2196;2328;0.05670103092783505;94557.39556292986;5468.745664466477;0.05783519767977235;186358.347080945;133.20129656589518;0.12342939961150812;10641;142;0
SLACK;1527.276867317115;224.79016140249624;2196;2328;0.05670103092783505;94557.39556292986;5468.745664466477;0.05783519767977235;186358.347080945;133.20129656589518;0.12342939961150812;10641;142;0
PONDERADO;1564.7876989306847;243.63953131205858;2171;2328;0.06743986254295532;94623.03960190614;4120.9143020914435;0.043550855261348304;197835.62316550832;155.6197790056717;0.11558723158545542;10641;140;0
EDD;1566.82232262913;245.75086468038384;2211;2328;0.05025773195876289;94528.88303981462;4051.8883294156058;0.04286402419151606;194553.80772958777;144.98079357554678;0.11448015118641261;10641;140;0
RISK_LATE;1683.651994359361;235.13854316560767;2228;2328;0.0429553264604811;94609.23580770471;5295.907887989389;0.05597664797497608;224203.40230066876;191.54307681159003;0.11889931622236045;10641;141;0
CR;1850.8003776894711;234.23449812562708;2237;2328;0.0390893470790378;94599.87462699632;6264.973337146864;0.06622602156556141;268476.126417826;219.18090743935267;0.11850593911961067;10641;142;0
