modelo;escenario;target;usa_lpa_como_target;usa_reglas_deterministas_como_candidatos;filas_train;features;hidden_layers;max_iter;mae_rank_normalizado_in_sample;r2_rank_in_sample;secuencia_ga_len;gnn_hidden_units;gnn_epochs;gnn_lr;train_loss_final;nodos_grafo;aristas_grafo
MLPRegressor_prioridad_desde_GA;inicial;ranking_normalizado_secuencia_GA;False;False;2328;['log_cantidad', 'N_OPERACIONES', 'log_work_min', 'log_deadline_work_min', 'slack_relativo', 'log_cr', 'n_alternativas', 'n_grupos_recurso', 'duracion_media_operacion_min', 'duracion_max_operacion_min', 'operacion_min', 'operacion_max'];[64, 32];700.0;0.012649103428575965;0.99462654902066;2328;;;;;;
TorchGCN_prioridad_desde_GA;inicial;ranking_normalizado_secuencia_GA;False;False;2328;['log_cantidad', 'N_OPERACIONES', 'log_work_min', 'log_deadline_work_min', 'slack_relativo', 'log_cr', 'n_alternativas', 'n_grupos_recurso', 'duracion_media_operacion_min', 'duracion_max_operacion_min', 'operacion_min', 'operacion_max'];;;0.04891921706979105;0.9366935739152091;2328;48.0;260.0;0.01;0.005289511755108833;3960.0;91188.0
MLPRegressor_prioridad_desde_GA;peso_fecha_1;ranking_normalizado_secuencia_GA;False;False;2328;['log_cantidad', 'N_OPERACIONES', 'log_work_min', 'log_deadline_work_min', 'slack_relativo', 'log_cr', 'n_alternativas', 'n_grupos_recurso', 'duracion_media_operacion_min', 'duracion_max_operacion_min', 'operacion_min', 'operacion_max'];[64, 32];700.0;0.014027849511247758;0.9903342018393266;2328;;;;;;
TorchGCN_prioridad_desde_GA;peso_fecha_1;ranking_normalizado_secuencia_GA;False;False;2328;['log_cantidad', 'N_OPERACIONES', 'log_work_min', 'log_deadline_work_min', 'slack_relativo', 'log_cr', 'n_alternativas', 'n_grupos_recurso', 'duracion_media_operacion_min', 'duracion_max_operacion_min', 'operacion_min', 'operacion_max'];;;0.05090725711083586;0.9306092160818831;2328;48.0;260.0;0.01;0.0058164470829069614;3960.0;91188.0
MLPRegressor_prioridad_desde_GA;peso_fecha_0;ranking_normalizado_secuencia_GA;False;False;2328;['log_cantidad', 'N_OPERACIONES', 'log_work_min', 'log_deadline_work_min', 'slack_relativo', 'log_cr', 'n_alternativas', 'n_grupos_recurso', 'duracion_media_operacion_min', 'duracion_max_operacion_min', 'operacion_min', 'operacion_max'];[64, 32];700.0;0.2408634683566192;0.048438436864021384;2328;;;;;;
TorchGCN_prioridad_desde_GA;peso_fecha_0;ranking_normalizado_secuencia_GA;False;False;2328;['log_cantidad', 'N_OPERACIONES', 'log_work_min', 'log_deadline_work_min', 'slack_relativo', 'log_cr', 'n_alternativas', 'n_grupos_recurso', 'duracion_media_operacion_min', 'duracion_max_operacion_min', 'operacion_min', 'operacion_max'];;;0.24699496704467916;0.02048344324814866;2328;48.0;260.0;0.01;0.08170992881059647;3960.0;91188.0
