metodo;makespan_min;makespan_days;tardy_orders;due_orders;on_time_rate;workload_hours;on_time_workload_hours;on_time_workload_rate;total_late_min;max_late_min;total_late_days;max_late_days;utilization;n_ops_scheduled;n_active_res;missing_ops;fitness;peso_fecha_eval;escenario_objetivo_ga;fitness_ga_teacher;modelo_prioridad;variante_nn;elapsed_s;elapsed_min
MLP_GA_INICIAL;366626.11165939394;254.60146643013468;1256;2328;0.46048109965635736;94585.89105312596;17329.98630934225;0.1832195702381081;119697015.77047178;359573.62930645276;83122.92761838318;249.7039092405922;0.10978300252424052;10641;141;0;821.5047793789469;0.85;inicial;798.349555430723;MLPRegressor_prioridad_desde_GA;MLP;5.25;0.09
GNN_GA_INICIAL;364738.5769825831;253.29067846012714;1302;2328;0.44072164948453607;94616.5910941612;17319.09475005825;0.1830450088063574;128612096.7417757;354811.53457455075;89313.95607067758;246.39689901010468;0.11038695035246399;10641;141;0;860.4272980649291;0.85;inicial;798.349555430723;TorchGCN_prioridad_desde_GA;GNN;5.28;0.09
MLP_GA_PESO_FECHA_0;342144.0079393568;237.60000551344223;2071;2328;0.11039518900343642;94573.99776931501;13012.895983765293;0.13759486001116672;309530621.33571446;336021.33807140955;214951.82037202394;233.34815143847885;0.11762372988000526;10641;141;0;237.60000551344223;0.0;peso_fecha_0;202.87663344010394;MLPRegressor_prioridad_desde_GA;MLP;9.65;0.16
GNN_GA_PESO_FECHA_0;355119.6430332461;246.61086321753203;1956;2328;0.15979381443298968;94654.9665279877;17389.350655415292;0.18371302947187235;319743938.0815159;343216.19437126763;222044.40144549715;238.3445794244914;0.11342292647290975;10641;141;0;246.61086321753203;0.0;peso_fecha_0;202.87663344010394;TorchGCN_prioridad_desde_GA;GNN;9.68;0.16
MLP_GA_PESO_FECHA_1;377885.0722768389;262.4201890811381;1228;2328;0.4725085910652921;94649.71012451863;18369.498539947075;0.19407876173926633;120902368.35491341;365999.18992389785;83959.97802424543;254.16610411381797;0.10658392021346007;10641;141;0;913.5608459107178;1.0;peso_fecha_1;891.589080595829;MLPRegressor_prioridad_desde_GA;MLP;7.66;0.13
GNN_GA_PESO_FECHA_1;363761.01454702043;252.61181565765307;1309;2328;0.4377147766323024;94625.70220904303;17253.407448593836;0.18233320383164345;128501743.08223294;354498.22904494085;89237.32158488399;246.17932572565337;0.11069425982690718;10641;141;0;970.2249840540258;1.0;peso_fecha_1;891.589080595829;TorchGCN_prioridad_desde_GA;GNN;7.68;0.13
