metodo;fitness;makespan_days;tardy_orders;due_orders;on_time_rate;workload_hours;on_time_workload_hours;on_time_workload_rate;total_late_days;max_late_days;utilization;n_ops_scheduled;n_active_res;missing_ops
GA;798.349555430723;248.07647482203436;1233;2328;0.47036082474226804;94601.19767027025;18315.481891103216;0.19360729401060334;79413.23055259821;246.95270031223043;0.11268878552005455;10641;141;0
EDD;1566.82232262913;245.75086468038384;2211;2328;0.05025773195876289;94528.88303981462;4051.8883294156058;0.04286402419151606;194553.80772958777;144.98079357554678;0.11448015118641261;10641;140;0
SPT;814.5704921241297;251.8278412830824;1247;2328;0.4643470790378007;94618.19726177352;17706.057313522953;0.18713162822725155;82214.41208892061;250.70406677327847;0.11103005942980135;10641;141;0
